,Tweet Id,Time Created,Author ID,Author Name,Text,Language,Media URL,Media Type,Preview Media Url,Entities,Context Annotations,Geo Location,Source,Withhold status
0,1513738885901295617,2022-04-12 04:40:48+00:00,2246570950,MWALIMU AMUNGA AKHANYALABANDU,"Kalonzo is giving azimio la umoja sleepless nights. The problem in AZIMIO is that the power broker is Uhuru but the candidate is Raila Odinga. Shida ya kutafutiwa bibi na mtu mwingine 🤣
@skmusyoka @RailaOdinga #FuelShortage https://t.co/ZjROrJ5mSi",tl,https://pbs.twimg.com/media/FQHhfojXEAMMM31.jpg,photo,,"{'hashtags': [{'start': 210, 'end': 223, 'tag': 'FuelShortage'}], 'mentions': [{'start': 186, 'end': 196, 'username': 'skmusyoka', 'id': '121041518'}, {'start': 197, 'end': 209, 'username': 'RailaOdinga', 'id': '300789811'}], 'urls': [{'start': 224, 'end': 247, 'url': 'https://t.co/ZjROrJ5mSi', 'expanded_url': 'https://twitter.com/MWALIMU_AMUNGA/status/1513738885901295617/photo/1', 'display_url': 'pic.twitter.com/ZjROrJ5mSi'}]}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '905852682753122304', 'name': 'Raila Odinga', 'description': 'Raila Odinga'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '905852682753122304', 'name': 'Raila Odinga', 'description': 'Raila Odinga'}}]",,Twitter for Android,
1,1513738259113082880,2022-04-12 04:38:19+00:00,2473881734,Dr.Bismark Umbili (PHD),@UDAKenya will lose Nairobi women REP seat. @EstherPassaris will win anytime against @MillicentOmanga. I will not vote for any Azimio Candidates but seems i have been forced to break that promise. @MillicentOmanga should be at most a nominated MCA in the county assembly. https://t.co/YD70HJGJK9,en,https://pbs.twimg.com/media/FQHg6kpXsAUqB9C.jpg,photo,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'UDAKenya', 'id': '1341993876463226880'}, {'start': 44, 'end': 59, 'username': 'EstherPassaris', 'id': '38699733'}, {'start': 85, 'end': 101, 'username': 'MillicentOmanga', 'id': '1005535676'}, {'start': 197, 'end': 213, 'username': 'MillicentOmanga', 'id': '1005535676'}], 'urls': [{'start': 272, 'end': 295, 'url': 'https://t.co/YD70HJGJK9', 'expanded_url': 'https://twitter.com/bismarkumbili/status/1513738259113082880/photo/1', 'display_url': 'pic.twitter.com/YD70HJGJK9'}]}",[],,Twitter for Android,
2,1513736599175057409,2022-04-12 04:31:43+00:00,1057902407655526400,KTN News,"Rigathi Gachagua: The problem in Azimio and participation with Kalonzo Musyoka is that there is a trust deficit .

#MorningPrime with @debarlinea https://t.co/MvHoH32RjM",en,,video,https://pbs.twimg.com/ext_tw_video_thumb/1513736392983076867/pu/img/63MZBcqrbd9mu_g_.jpg,"{'hashtags': [{'start': 115, 'end': 128, 'tag': 'MorningPrime'}], 'mentions': [{'start': 134, 'end': 145, 'username': 'debarlinea', 'id': '395863573'}], 'annotations': [{'start': 0, 'end': 15, 'probability': 0.7187, 'type': 'Person', 'normalized_text': 'Rigathi Gachagua'}, {'start': 33, 'end': 38, 'probability': 0.5871, 'type': 'Place', 'normalized_text': 'Azimio'}, {'start': 63, 'end': 77, 'probability': 0.9406, 'type': 'Person', 'normalized_text': 'Kalonzo Musyoka'}], 'urls': [{'start': 146, 'end': 169, 'url': 'https://t.co/MvHoH32RjM', 'expanded_url': 'https://twitter.com/KTNNewsKE/status/1513736599175057409/video/1', 'display_url': 'pic.twitter.com/MvHoH32RjM'}]}",[],,TweetDeck,
3,1513736515419086852,2022-04-12 04:31:23+00:00,1289446448682147840,Billy_ Muhadis,"@citizentvkenya Kuzimia...😂😂 Nice One.!

 #Azimio La Ujinga/Matapeli: 
“Tower of Babel” Bure Kabisa.!
@HassanOmarH @skmusyoka @MoiGideon @ledamalekina @Wetangulam @SenMutula https://t.co/qeHJjhpAKv",et,https://pbs.twimg.com/media/FQHfVrbXwAMoxMD.jpg,photo,,"{'hashtags': [{'start': 42, 'end': 49, 'tag': 'Azimio'}], 'mentions': [{'start': 0, 'end': 15, 'username': 'citizentvkenya', 'id': '70394965'}, {'start': 102, 'end': 114, 'username': 'HassanOmarH', 'id': '705021398'}, {'start': 115, 'end': 125, 'username': 'skmusyoka', 'id': '121041518'}, {'start': 126, 'end': 136, 'username': 'MoiGideon', 'id': '1072907593'}, {'start': 137, 'end': 150, 'username': 'ledamalekina', 'id': '2466645955'}, {'start': 151, 'end': 162, 'username': 'Wetangulam', 'id': '402607606'}, {'start': 163, 'end': 173, 'username': 'SenMutula', 'id': '710731850'}], 'urls': [{'start': 174, 'end': 197, 'url': 'https://t.co/qeHJjhpAKv', 'expanded_url': 'https://twitter.com/BMuhadis/status/1513736515419086852/photo/1', 'display_url': 'pic.twitter.com/qeHJjhpAKv'}]}",[],,Twitter for iPhone,
4,1513736125260648449,2022-04-12 04:29:50+00:00,1057902407655526400,KTN News,"Rigathi Gachagua: As Kalonzo reluctantly joined Azimio he said the former vice president cannot be trusted and he needed the president to be his guarantor in the deal. 

#MorningPrime with @debarlinea https://t.co/rqFAfZezCQ",en,,video,https://pbs.twimg.com/ext_tw_video_thumb/1513735970658689028/pu/img/G1vej9ExD57vH-uA.jpg,"{'hashtags': [{'start': 170, 'end': 183, 'tag': 'MorningPrime'}], 'mentions': [{'start': 189, 'end': 200, 'username': 'debarlinea', 'id': '395863573'}], 'annotations': [{'start': 0, 'end': 15, 'probability': 0.755, 'type': 'Person', 'normalized_text': 'Rigathi Gachagua'}, {'start': 21, 'end': 27, 'probability': 0.526, 'type': 'Person', 'normalized_text': 'Kalonzo'}, {'start': 48, 'end': 53, 'probability': 0.7966, 'type': 'Person', 'normalized_text': 'Azimio'}], 'urls': [{'start': 201, 'end': 224, 'url': 'https://t.co/rqFAfZezCQ', 'expanded_url': 'https://twitter.com/KTNNewsKE/status/1513736125260648449/video/1', 'display_url': 'pic.twitter.com/rqFAfZezCQ'}]}",[],,TweetDeck,
5,1513735464133484550,2022-04-12 04:27:13+00:00,1456322885988069388,Ali Muhammed,@Okuonko2 @MoseWetangula Azimio is dead burial site and see arrangment to in the due course\ https://t.co/99dDvRD66r,en,https://pbs.twimg.com/media/FQHeXMuXIAACYB2.jpg,photo,,"{'mentions': [{'start': 0, 'end': 9, 'username': 'Okuonko2', 'id': '1209243745918574599'}, {'start': 10, 'end': 24, 'username': 'MoseWetangula', 'id': '1508789868700315657'}], 'urls': [{'start': 93, 'end': 116, 'url': 'https://t.co/99dDvRD66r', 'expanded_url': 'https://twitter.com/AliMuha40665060/status/1513735464133484550/photo/1', 'display_url': 'pic.twitter.com/99dDvRD66r'}]}",[],,Twitter for Android,
6,1513734456368152577,2022-04-12 04:23:12+00:00,861044845,Simon mwaluma,@MzitoKm Promote Azimio if uko na uhakika.stop been Conman like Raila https://t.co/yYfXYV7Y5K,und,https://pbs.twimg.com/media/FQHddxYXEAMwX6j.jpg,photo,,"{'mentions': [{'start': 0, 'end': 8, 'username': 'MzitoKm', 'id': '205857702'}], 'urls': [{'start': 70, 'end': 93, 'url': 'https://t.co/yYfXYV7Y5K', 'expanded_url': 'https://twitter.com/Symore86/status/1513734456368152577/photo/1', 'display_url': 'pic.twitter.com/yYfXYV7Y5K'}]}",[],,Twitter for Android,
7,1513733461412036609,2022-04-12 04:19:15+00:00,20087934,K24 TV,"Dr. Siyad Abdullahi: The issue of the party leader in UDA is also a concern. We have a better formula in Azimio, we have a lot of people on our side and we are going to form the next government.
#K24ThisMorning
@AyubAbdikadir https://t.co/58IKzVDOMN",en,,video,https://pbs.twimg.com/amplify_video_thumb/1513731760210780164/img/9u6RhNihPJ5BkwNj.jpg,"{'hashtags': [{'start': 195, 'end': 210, 'tag': 'K24ThisMorning'}], 'mentions': [{'start': 211, 'end': 225, 'username': 'AyubAbdikadir', 'id': '1882583496'}], 'annotations': [{'start': 0, 'end': 18, 'probability': 0.8762, 'type': 'Person', 'normalized_text': 'Dr. Siyad Abdullahi'}, {'start': 54, 'end': 56, 'probability': 0.3838, 'type': 'Place', 'normalized_text': 'UDA'}, {'start': 105, 'end': 110, 'probability': 0.4199, 'type': 'Place', 'normalized_text': 'Azimio'}], 'urls': [{'start': 226, 'end': 249, 'url': 'https://t.co/58IKzVDOMN', 'expanded_url': 'https://twitter.com/K24Tv/status/1513733461412036609/video/1', 'display_url': 'pic.twitter.com/58IKzVDOMN'}]}",[],,Twitter Media Studio - LiveCut,
8,1513733184894218240,2022-04-12 04:18:09+00:00,480658904,Julius Otieno,"Azimio presidential hopeful and @TheODMparty  boss @RailaOdinga  will next week fly to the US, a trip expected to be his last mission abroad before the August 9 general election @edwinsifuna @makaumutua @JunetMohamed https://t.co/YrAqJ31s0j",en,https://pbs.twimg.com/media/FQHcKT2WUAEeVbE.jpg,photo,,"{'mentions': [{'start': 32, 'end': 44, 'username': 'TheODMparty', 'id': '817259084'}, {'start': 51, 'end': 63, 'username': 'RailaOdinga', 'id': '300789811'}, {'start': 178, 'end': 190, 'username': 'edwinsifuna', 'id': '53923813'}, {'start': 191, 'end': 202, 'username': 'makaumutua', 'id': '45182880'}, {'start': 203, 'end': 216, 'username': 'JunetMohamed', 'id': '1536500138'}], 'annotations': [{'start': 91, 'end': 92, 'probability': 0.9815, 'type': 'Place', 'normalized_text': 'US'}], 'urls': [{'start': 217, 'end': 240, 'url': 'https://t.co/YrAqJ31s0j', 'expanded_url': 'https://twitter.com/Juliusotieno04/status/1513733184894218240/photo/1', 'display_url': 'pic.twitter.com/YrAqJ31s0j'}]}","[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '905852682753122304', 'name': 'Raila Odinga', 'description': 'Raila Odinga'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '905852682753122304', 'name': 'Raila Odinga', 'description': 'Raila Odinga'}}]",,Twitter Web App,
9,1513732834275516421,2022-04-12 04:16:46+00:00,1289446448682147840,Billy_ Muhadis,"@citizentvkenya Kuzimia...😂😂 Nice One.!

 #Azimio La Ujinga/Matapeli: 
“Tower of Babel” Bure Kabisa.!
@honkabogo @skmusyoka @MoiGideon @ledamalekina @Wetangulam @JunetMohamed https://t.co/f3hsyICw9Q",et,https://pbs.twimg.com/media/FQHb_UmXoAEzyKz.jpg,photo,,"{'hashtags': [{'start': 42, 'end': 49, 'tag': 'Azimio'}], 'mentions': [{'start': 0, 'end': 15, 'username': 'citizentvkenya', 'id': '70394965'}, {'start': 102, 'end': 112, 'username': 'honkabogo', 'id': '275081037'}, {'start': 113, 'end': 123, 'username': 'skmusyoka', 'id': '121041518'}, {'start': 124, 'end': 134, 'username': 'MoiGideon', 'id': '1072907593'}, {'start': 135, 'end': 148, 'username': 'ledamalekina', 'id': '2466645955'}, {'start': 149, 'end': 160, 'username': 'Wetangulam', 'id': '402607606'}, {'start': 161, 'end': 174, 'username': 'JunetMohamed', 'id': '1536500138'}], 'urls': [{'start': 175, 'end': 198, 'url': 'https://t.co/f3hsyICw9Q', 'expanded_url': 'https://twitter.com/BMuhadis/status/1513732834275516421/photo/1', 'display_url': 'pic.twitter.com/f3hsyICw9Q'}]}",[],,Twitter for iPhone,
